Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,NYK,18.0,54.0,Home,36.0,54.0,54.0,44.390243902439025
2022-10-21,HOU,13.0,45.0,Away,32.0,49.5,99.0,54.0
2022-10-22,DAL,15.0,52.0,Away,37.0,50.333333333333336,151.0,49.5
2022-10-24,BRK,9.0,35.0,Home,26.0,46.5,186.0,50.333333333333336
2022-10-27,SAC,9.0,40.0,Away,31.0,45.2,226.0,46.5
2022-10-29,UTA,10.0,34.0,Away,24.0,43.333333333333336,260.0,45.2
2022-10-31,UTA,11.0,48.0,Away,37.0,44.0,308.0,43.333333333333336
2022-11-02,POR,16.0,46.0,Away,30.0,44.25,354.0,44.0
2022-11-04,CHO,12.0,41.0,Home,29.0,43.888888888888886,395.0,44.25
2022-11-06,WAS,15.0,49.0,Home,34.0,44.4,444.0,43.888888888888886
2022-11-07,BOS,7.0,45.0,Home,38.0,43.5,489.0,44.4
2022-11-09,SAS,13.0,39.0,Away,26.0,42.9,528.0,43.5
2022-11-11,MIN,7.0,33.0,Home,26.0,41.0,561.0,42.9
2022-11-13,WAS,9.0,47.0,Away,38.0,42.2,608.0,41.0
2022-11-15,NOP,7.0,43.0,Away,36.0,42.5,651.0,42.2
2022-11-18,OKC,8.0,43.0,Home,35.0,43.4,694.0,42.5
2022-11-20,BRK,5.0,45.0,Away,40.0,43.1,739.0,43.4
2022-11-22,SAC,9.0,45.0,Home,36.0,43.0,784.0,43.1
2022-11-25,NOP,11.0,41.0,Home,30.0,43.0,825.0,43.0
2022-11-27,NYK,12.0,42.0,Away,30.0,42.3,867.0,43.0
2022-11-30,MIN,5.0,29.0,Away,24.0,40.7,896.0,42.3
2022-12-02,PHI,10.0,42.0,Home,32.0,41.0,938.0,40.7
2022-12-04,DET,8.0,39.0,Away,31.0,41.6,977.0,41.0
2022-12-05,MIA,9.0,45.0,Home,36.0,41.4,1022.0,41.6
2022-12-07,OKC,14.0,48.0,Home,34.0,41.9,1070.0,41.4
2022-12-09,DET,13.0,47.0,Home,34.0,42.3,1117.0,41.9
2022-12-12,ATL,20.0,39.0,Home,19.0,41.7,1156.0,42.3
2022-12-15,MIL,11.0,39.0,Home,28.0,41.1,1195.0,41.7
2022-12-17,OKC,9.0,53.0,Away,44.0,42.3,1248.0,41.1
2022-12-20,DEN,13.0,48.0,Away,35.0,42.9,1296.0,42.3
2022-12-23,PHO,11.0,35.0,Away,24.0,43.5,1331.0,42.9
2022-12-25,GSW,9.0,51.0,Away,42.0,44.4,1382.0,43.5
2022-12-27,PHO,15.0,47.0,Home,32.0,45.2,1429.0,44.4
2022-12-29,TOR,17.0,47.0,Away,30.0,45.4,1476.0,45.2
2022-12-31,NOP,15.0,46.0,Home,31.0,45.2,1522.0,45.4
2023-01-01,SAC,14.0,47.0,Home,33.0,45.2,1569.0,45.2
2023-01-04,CHO,10.0,44.0,Away,34.0,45.7,1613.0,45.2
2023-01-05,ORL,7.0,39.0,Away,32.0,45.7,1652.0,45.7
2023-01-08,UTA,8.0,46.0,Home,38.0,45.0,1698.0,45.7
2023-01-09,SAS,12.0,42.0,Home,30.0,44.4,1740.0,45.0
2023-01-11,SAS,17.0,48.0,Home,31.0,45.7,1788.0,44.4
2023-01-14,IND,16.0,49.0,Away,33.0,45.5,1837.0,45.7
2023-01-16,PHO,9.0,37.0,Home,28.0,44.5,1874.0,45.5
2023-01-18,CLE,11.0,47.0,Home,36.0,44.5,1921.0,44.5
2023-01-20,LAL,10.0,47.0,Away,37.0,44.6,1968.0,44.5
2023-01-22,PHO,6.0,40.0,Away,34.0,43.9,2008.0,44.6
2023-01-23,SAC,10.0,53.0,Away,43.0,44.8,2061.0,43.9
2023-01-25,GSW,14.0,44.0,Away,30.0,45.3,2105.0,44.8
2023-01-27,MIN,9.0,45.0,Away,36.0,45.2,2150.0,45.3
2023-01-29,IND,11.0,38.0,Home,27.0,44.8,2188.0,45.2
2023-02-01,POR,9.0,41.0,Home,32.0,44.1,2229.0,44.8
2023-02-02,CLE,9.0,41.0,Away,32.0,43.3,2270.0,44.1
2023-02-05,TOR,11.0,42.0,Home,31.0,43.8,2312.0,43.3
2023-02-07,CHI,11.0,49.0,Home,38.0,44.0,2361.0,43.8
2023-02-10,MIN,7.0,35.0,Home,28.0,42.8,2396.0,44.0
2023-02-12,BOS,15.0,55.0,Away,40.0,44.3,2451.0,42.8
2023-02-15,UTA,15.0,61.0,Home,46.0,45.1,2512.0,44.3
2023-02-23,PHI,7.0,43.0,Away,36.0,45.0,2555.0,45.1
2023-02-25,DEN,11.0,48.0,Home,37.0,45.3,2603.0,45.0
2023-02-28,LAL,14.0,56.0,Home,42.0,47.1,2659.0,45.3
2023-03-01,HOU,17.0,49.0,Away,32.0,47.9,2708.0,47.1
2023-03-03,DEN,13.0,53.0,Away,40.0,49.1,2761.0,47.9
2023-03-05,LAC,13.0,53.0,Away,40.0,50.2,2814.0,49.1
2023-03-07,LAL,7.0,57.0,Away,50.0,51.0,2871.0,50.2
2023-03-09,GSW,8.0,32.0,Home,24.0,50.7,2903.0,51.0
2023-03-11,DAL,10.0,43.0,Home,33.0,49.5,2946.0,50.7
2023-03-13,DAL,8.0,41.0,Away,33.0,47.5,2987.0,49.5
2023-03-15,MIA,8.0,41.0,Away,33.0,47.3,3028.0,47.5
2023-03-17,SAS,16.0,54.0,Away,38.0,47.9,3082.0,47.3
2023-03-18,GSW,15.0,42.0,Home,27.0,46.5,3124.0,47.9
2023-03-20,DAL,8.0,37.0,Home,29.0,45.3,3161.0,46.5
2023-03-22,HOU,20.0,48.0,Home,28.0,44.8,3209.0,45.3
2023-03-24,HOU,10.0,38.0,Home,28.0,43.3,3247.0,44.8
2023-03-26,ATL,14.0,48.0,Away,34.0,42.4,3295.0,43.3
2023-03-28,ORL,8.0,47.0,Home,39.0,43.9,3342.0,42.4
2023-03-29,LAC,3.0,32.0,Home,29.0,42.8,3374.0,43.9
2023-03-31,LAC,12.0,50.0,Home,38.0,43.7,3424.0,42.8
2023-04-02,CHI,4.0,36.0,Away,32.0,43.2,3460.0,43.7
2023-04-04,POR,13.0,49.0,Home,36.0,42.7,3509.0,43.2
2023-04-05,NOP,8.0,44.0,Away,36.0,42.9,3553.0,42.7
2023-04-07,MIL,11.0,38.0,Away,27.0,43.0,3591.0,42.9
2023-04-09,OKC,8.0,49.0,Away,41.0,43.1,3640.0,43.0
