Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,CHI,12.0,46.0,Home,34.0,46.0,46.0,41.84146341463415
2022-10-21,BOS,12.0,43.0,Home,31.0,44.5,89.0,46.0
2022-10-22,TOR,8.0,37.0,Home,29.0,42.0,126.0,44.5
2022-10-24,TOR,10.0,52.0,Home,42.0,44.5,178.0,42.0
2022-10-26,POR,11.0,38.0,Away,27.0,43.2,216.0,44.5
2022-10-27,GSW,16.0,50.0,Away,34.0,44.333333333333336,266.0,43.2
2022-10-29,SAC,6.0,43.0,Away,37.0,44.142857142857146,309.0,44.333333333333336
2022-11-01,GSW,10.0,41.0,Home,31.0,43.75,350.0,44.142857142857146
2022-11-02,SAC,4.0,39.0,Home,35.0,43.22222222222222,389.0,43.75
2022-11-04,IND,5.0,42.0,Away,37.0,43.1,431.0,43.22222222222222
2022-11-07,POR,4.0,37.0,Home,33.0,42.2,468.0,43.1
2022-11-10,CHO,8.0,50.0,Home,42.0,42.9,518.0,42.2
2022-11-12,CHO,4.0,37.0,Home,33.0,42.9,555.0,42.9
2022-11-14,PHO,20.0,45.0,Home,25.0,42.2,600.0,42.9
2022-11-16,TOR,16.0,42.0,Away,26.0,42.6,642.0,42.2
2022-11-18,WAS,8.0,54.0,Away,46.0,43.0,696.0,42.6
2022-11-20,CLE,13.0,49.0,Away,36.0,43.6,745.0,43.0
2022-11-21,MIN,6.0,40.0,Away,34.0,43.5,785.0,43.6
2022-11-23,WAS,7.0,43.0,Home,36.0,43.9,828.0,43.5
2022-11-25,WAS,13.0,45.0,Home,32.0,44.2,873.0,43.9
2022-11-27,ATL,8.0,42.0,Away,34.0,44.7,915.0,44.2
2022-11-30,BOS,11.0,41.0,Away,30.0,43.8,956.0,44.7
2022-12-02,BOS,7.0,48.0,Away,41.0,44.9,1004.0,43.8
2022-12-05,MEM,4.0,41.0,Away,37.0,44.5,1045.0,44.9
2022-12-06,DET,9.0,40.0,Home,31.0,44.3,1085.0,44.5
2022-12-08,LAC,7.0,43.0,Home,36.0,43.2,1128.0,44.3
2022-12-10,SAS,9.0,46.0,Home,37.0,42.9,1174.0,43.2
2022-12-12,IND,8.0,45.0,Away,37.0,43.4,1219.0,42.9
2022-12-14,OKC,7.0,44.0,Away,37.0,43.5,1263.0,43.4
2022-12-15,HOU,18.0,51.0,Away,33.0,44.1,1314.0,43.5
2022-12-17,SAS,7.0,38.0,Away,31.0,43.7,1352.0,44.1
2022-12-20,CHI,5.0,39.0,Home,34.0,43.5,1391.0,43.7
2022-12-23,IND,9.0,43.0,Home,34.0,43.0,1434.0,43.5
2022-12-26,MIN,8.0,44.0,Home,36.0,43.3,1478.0,43.0
2022-12-28,LAL,8.0,44.0,Home,36.0,43.7,1522.0,43.3
2022-12-30,DEN,5.0,36.0,Away,31.0,43.0,1558.0,43.7
