Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-20,PHI,6.0,44.0,Away,38.0,44.0,44.0,44.18292682926829
2022-10-22,HOU,15.0,47.0,Home,32.0,45.5,91.0,44.0
2022-10-26,BRK,7.0,37.0,Home,30.0,42.666666666666664,128.0,45.5
2022-10-28,NYK,13.0,54.0,Home,41.0,45.5,182.0,42.666666666666664
2022-10-29,ATL,12.0,42.0,Home,30.0,44.8,224.0,45.5
2022-10-31,DET,13.0,43.0,Home,30.0,44.5,267.0,44.8
2022-11-02,DET,2.0,35.0,Home,33.0,43.142857142857146,302.0,44.5
2022-11-04,MIN,10.0,47.0,Away,37.0,43.625,349.0,43.142857142857146
2022-11-05,OKC,9.0,38.0,Home,29.0,43.0,387.0,43.625
2022-11-07,ATL,12.0,48.0,Away,36.0,43.5,435.0,43.0
2022-11-09,OKC,16.0,55.0,Away,39.0,44.6,490.0,43.5
2022-11-11,SAS,9.0,50.0,Away,41.0,44.9,540.0,44.6
2022-11-14,ATL,13.0,45.0,Home,32.0,45.7,585.0,44.9
2022-11-16,CLE,6.0,34.0,Home,28.0,43.7,619.0,45.7
2022-11-18,PHI,6.0,41.0,Away,35.0,43.6,660.0,43.7
2022-11-21,POR,12.0,40.0,Home,28.0,43.3,700.0,43.6
2022-11-23,CHI,5.0,35.0,Home,30.0,43.3,735.0,43.3
2022-11-25,CLE,10.0,41.0,Home,31.0,42.7,776.0,43.3
2022-11-27,DAL,6.0,32.0,Home,26.0,42.1,808.0,42.7
2022-11-30,NYK,19.0,55.0,Away,36.0,42.8,863.0,42.1
2022-12-02,LAL,12.0,44.0,Home,32.0,41.7,907.0,42.8
2022-12-03,CHO,9.0,44.0,Away,35.0,41.1,951.0,41.7
2022-12-05,ORL,15.0,52.0,Away,37.0,41.8,1003.0,41.1
2022-12-07,SAC,8.0,40.0,Home,32.0,42.4,1043.0,41.8
2022-12-09,DAL,12.0,43.0,Away,31.0,42.6,1086.0,42.4
2022-12-11,HOU,10.0,49.0,Away,39.0,43.5,1135.0,42.6
2022-12-13,GSW,12.0,37.0,Home,25.0,43.7,1172.0,43.5
2022-12-15,MEM,14.0,56.0,Away,42.0,45.2,1228.0,43.7
2022-12-17,UTA,7.0,29.0,Home,22.0,44.9,1257.0,45.2
2022-12-19,NOP,17.0,44.0,Away,27.0,43.8,1301.0,44.9
2022-12-21,CLE,9.0,37.0,Away,28.0,43.1,1338.0,43.8
2022-12-23,BRK,12.0,45.0,Away,33.0,43.2,1383.0,43.1
2022-12-25,BOS,5.0,35.0,Away,30.0,41.5,1418.0,43.2
2022-12-28,CHI,7.0,52.0,Away,45.0,42.7,1470.0,41.5
