Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,OKC,16.0,57.0,Home,41.0,57.0,57.0
2022-10-21,UTA,19.0,54.0,Home,35.0,55.5,111.0
2022-10-23,OKC,11.0,42.0,Away,31.0,51.0,153.0
2022-10-24,SAS,14.0,50.0,Home,36.0,50.75,203.0
2022-10-26,SAS,14.0,41.0,Home,27.0,48.8,244.0
2022-10-28,LAL,12.0,55.0,Home,43.0,49.833333333333336,299.0
2022-10-30,SAS,14.0,52.0,Away,38.0,50.142857142857146,351.0
2022-11-01,PHO,7.0,34.0,Away,27.0,48.125,385.0
2022-11-04,MIL,7.0,51.0,Home,44.0,48.44444444444444,436.0
2022-11-05,HOU,12.0,33.0,Home,21.0,46.9,469.0
2022-11-07,NYK,9.0,43.0,Home,34.0,45.5,512.0
2022-11-09,PHO,10.0,36.0,Home,26.0,43.7,548.0
2022-11-11,MEM,15.0,46.0,Away,31.0,44.1,594.0
2022-11-13,CLE,16.0,40.0,Away,24.0,43.1,634.0
2022-11-16,ORL,12.0,47.0,Away,35.0,43.7,681.0
2022-11-19,PHI,4.0,39.0,Away,35.0,42.1,720.0
2022-11-21,MIA,12.0,46.0,Home,34.0,41.5,766.0
2022-11-23,IND,13.0,30.0,Away,17.0,41.1,796.0
2022-11-25,CHO,15.0,55.0,Away,40.0,41.5,851.0
2022-11-27,GSW,8.0,47.0,Home,39.0,42.9,898.0
2022-11-28,WAS,7.0,34.0,Away,27.0,42.0,932.0
2022-11-30,MEM,20.0,59.0,Home,39.0,44.3,991.0
2022-12-03,OKC,13.0,42.0,Home,29.0,43.9,1033.0
2022-12-07,IND,4.0,31.0,Home,27.0,43.0,1064.0
2022-12-09,UTA,12.0,40.0,Away,28.0,42.3,1104.0
2022-12-10,POR,11.0,45.0,Away,34.0,42.9,1149.0
2022-12-12,POR,11.0,54.0,Away,43.0,43.7,1203.0
2022-12-14,LAC,14.0,52.0,Away,38.0,45.9,1255.0
2022-12-16,OKC,9.0,45.0,Away,36.0,44.9,1300.0
2022-12-18,CHI,6.0,30.0,Home,24.0,43.2,1330.0
2022-12-19,DAL,8.0,42.0,Home,34.0,44.0,1372.0
2022-12-21,DAL,7.0,39.0,Home,32.0,42.0,1411.0
2022-12-23,BOS,20.0,53.0,Away,33.0,43.1,1464.0
2022-12-26,MIA,13.0,40.0,Away,27.0,44.0,1504.0
2022-12-28,NOP,9.0,43.0,Away,34.0,44.3,1547.0
2022-12-30,MIL,20.0,68.0,Away,48.0,46.6,1615.0
2022-12-31,DET,15.0,52.0,Home,37.0,46.4,1667.0
2023-01-02,DEN,18.0,45.0,Home,27.0,45.7,1712.0
2023-01-04,POR,12.0,39.0,Home,27.0,45.1,1751.0
2023-01-06,LAC,18.0,40.0,Home,22.0,46.1,1791.0
2023-01-08,HOU,12.0,41.0,Away,29.0,46.0,1832.0
2023-01-11,DET,7.0,38.0,Away,31.0,45.9,1870.0
2023-01-13,PHO,9.0,43.0,Home,34.0,44.9,1913.0
2023-01-14,CLE,8.0,40.0,Home,32.0,44.9,1953.0
2023-01-16,UTA,14.0,50.0,Home,36.0,45.6,2003.0
2023-01-18,DEN,8.0,34.0,Away,26.0,42.2,2037.0
2023-01-19,TOR,8.0,38.0,Home,30.0,40.8,2075.0
2023-01-21,HOU,15.0,56.0,Home,41.0,41.9,2131.0
2023-01-23,HOU,12.0,47.0,Away,35.0,42.7,2178.0
2023-01-25,NOP,8.0,42.0,Away,34.0,42.9,2220.0
2023-01-27,MEM,15.0,47.0,Home,32.0,43.5,2267.0
2023-01-28,SAC,10.0,36.0,Home,26.0,43.3,2303.0
2023-01-30,SAC,10.0,50.0,Home,40.0,44.0,2353.0
2023-02-01,GSW,9.0,58.0,Home,49.0,45.8,2411.0
2023-02-03,ORL,13.0,42.0,Home,29.0,45.0,2453.0
2023-02-05,DEN,3.0,37.0,Home,34.0,45.3,2490.0
2023-02-07,DEN,6.0,44.0,Away,38.0,45.9,2534.0
2023-02-08,UTA,21.0,50.0,Away,29.0,45.3,2584.0
2023-02-10,MEM,9.0,44.0,Away,35.0,45.0,2628.0
2023-02-13,DAL,9.0,33.0,Away,24.0,44.1,2661.0
2023-02-16,WAS,13.0,49.0,Home,36.0,44.3,2710.0
2023-02-24,CHO,11.0,52.0,Home,41.0,45.9,2762.0
2023-02-26,GSW,16.0,56.0,Away,40.0,46.5,2818.0
2023-02-28,LAC,9.0,44.0,Away,35.0,45.1,2862.0
2023-03-03,LAL,11.0,41.0,Away,30.0,45.0,2903.0
2023-03-04,SAC,11.0,39.0,Away,28.0,45.2,2942.0
2023-03-07,PHI,8.0,54.0,Home,46.0,46.2,2996.0
2023-03-10,BRK,12.0,48.0,Home,36.0,46.0,3044.0
2023-03-13,ATL,18.0,51.0,Away,33.0,46.7,3095.0
2023-03-15,BOS,8.0,44.0,Home,36.0,47.8,3139.0
2023-03-17,CHI,6.0,47.0,Away,41.0,47.6,3186.0
2023-03-18,TOR,9.0,45.0,Away,36.0,46.9,3231.0
2023-03-20,NYK,7.0,34.0,Away,27.0,44.7,3265.0
2023-03-22,ATL,9.0,41.0,Home,32.0,44.4,3306.0
2023-03-26,GSW,6.0,37.0,Away,31.0,44.0,3343.0
2023-03-27,SAC,12.0,42.0,Away,30.0,44.3,3385.0
2023-03-29,PHO,15.0,48.0,Away,33.0,43.7,3433.0
2023-03-31,LAL,15.0,53.0,Home,38.0,44.2,3486.0
2023-04-02,POR,11.0,42.0,Home,31.0,43.3,3528.0
2023-04-04,BRK,7.0,40.0,Away,33.0,42.9,3568.0
2023-04-08,SAS,10.0,45.0,Away,35.0,42.7,3613.0
2023-04-09,NOP,11.0,49.0,Home,38.0,43.1,3662.0
