Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,BRK,9.0,39.0,Away,30.0,39.0,39.0
2022-10-21,CHO,11.0,37.0,Away,26.0,38.0,76.0
2022-10-23,UTA,15.0,44.0,Home,29.0,40.0,120.0
2022-10-25,DAL,11.0,37.0,Home,26.0,39.25,157.0
2022-10-28,PHO,14.0,47.0,Away,33.0,40.8,204.0
2022-10-30,LAC,8.0,39.0,Away,31.0,40.5,243.0
2022-11-02,LAL,11.0,56.0,Away,45.0,42.714285714285715,299.0
2022-11-04,GSW,3.0,29.0,Home,26.0,41.0,328.0
2022-11-05,ATL,12.0,50.0,Away,38.0,42.0,378.0
2022-11-07,IND,10.0,45.0,Away,35.0,42.3,423.0
2022-11-09,CHI,6.0,35.0,Away,29.0,41.9,458.0
2022-11-10,POR,11.0,46.0,Home,35.0,42.8,504.0
2022-11-12,HOU,10.0,43.0,Home,33.0,42.7,547.0
2022-11-15,MEM,14.0,51.0,Home,37.0,44.1,598.0
2022-11-16,CHI,7.0,37.0,Home,30.0,43.1,635.0
2022-11-18,BOS,11.0,46.0,Home,35.0,43.8,681.0
2022-11-21,GSW,4.0,34.0,Home,30.0,41.6,715.0
2022-11-23,SAS,8.0,37.0,Away,29.0,42.4,752.0
2022-11-25,MEM,13.0,46.0,Away,33.0,42.0,798.0
2022-11-28,OKC,18.0,47.0,Home,29.0,42.2,845.0
2022-11-30,TOR,3.0,30.0,Home,27.0,41.7,875.0
2022-12-02,SAS,10.0,49.0,Away,39.0,42.0,924.0
2022-12-04,DEN,9.0,43.0,Home,34.0,42.0,967.0
2022-12-07,DET,8.0,42.0,Home,34.0,41.1,1009.0
2022-12-09,PHO,8.0,37.0,Home,29.0,41.1,1046.0
2022-12-11,PHO,19.0,42.0,Home,23.0,40.7,1088.0
2022-12-13,UTA,19.0,59.0,Away,40.0,43.2,1147.0
2022-12-15,UTA,11.0,44.0,Away,33.0,43.9,1191.0
2022-12-17,PHO,10.0,35.0,Away,25.0,42.8,1226.0
2022-12-19,MIL,8.0,44.0,Home,36.0,42.5,1270.0
2022-12-22,SAS,14.0,44.0,Home,30.0,43.9,1314.0
2022-12-23,OKC,10.0,47.0,Away,37.0,43.7,1361.0
