Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,MEM,20.0,64.0,Away,44.0,64.0,64.0,42.03658536585366
2022-10-21,DET,13.0,49.0,Home,36.0,56.5,113.0,64.0
2022-10-24,ORL,13.0,41.0,Home,28.0,51.333333333333336,154.0,56.5
2022-10-26,CHO,9.0,42.0,Home,33.0,49.0,196.0,51.333333333333336
2022-10-28,MIL,19.0,60.0,Away,41.0,51.2,256.0,49.0
2022-10-30,CLE,10.0,43.0,Away,33.0,49.833333333333336,299.0,51.2
2022-11-02,ATL,17.0,51.0,Home,34.0,50.0,350.0,49.833333333333336
2022-11-04,PHI,13.0,44.0,Away,31.0,49.25,394.0,50.0
2022-11-05,BOS,8.0,34.0,Home,26.0,47.55555555555556,428.0,49.25
2022-11-07,MIN,4.0,39.0,Away,35.0,46.7,467.0,47.55555555555556
2022-11-09,BRK,11.0,55.0,Away,44.0,45.8,522.0,46.7
2022-11-11,DET,12.0,43.0,Home,31.0,45.2,565.0,45.8
2022-11-13,OKC,4.0,38.0,Home,34.0,44.9,603.0,45.2
2022-11-15,UTA,15.0,49.0,Away,34.0,45.6,652.0,44.9
2022-11-16,DEN,8.0,42.0,Away,34.0,43.8,694.0,45.6
2022-11-18,GSW,12.0,51.0,Away,39.0,44.6,745.0,43.8
2022-11-20,PHO,22.0,60.0,Away,38.0,45.5,805.0,44.6
2022-11-21,OKC,11.0,38.0,Away,27.0,44.9,843.0,45.5
2022-11-25,POR,13.0,48.0,Home,35.0,46.3,891.0,44.9
2022-11-27,MEM,16.0,50.0,Home,34.0,47.4,941.0,46.3
2022-11-29,DET,7.0,30.0,Away,23.0,44.9,971.0,47.4
2022-11-30,MIL,14.0,52.0,Home,38.0,45.8,1023.0,44.9
2022-12-03,DAL,14.0,50.0,Home,36.0,47.0,1073.0,45.8
2022-12-04,CLE,8.0,39.0,Home,31.0,46.0,1112.0,47.0
2022-12-07,ATL,11.0,39.0,Home,28.0,45.7,1151.0,46.0
2022-12-09,CHO,12.0,45.0,Away,33.0,45.1,1196.0,45.7
2022-12-11,SAC,11.0,41.0,Home,30.0,43.2,1237.0,45.1
2022-12-14,CHI,3.0,31.0,Away,28.0,42.5,1268.0,43.2
2022-12-16,CHI,2.0,39.0,Away,37.0,41.6,1307.0,42.5
2022-12-18,IND,12.0,44.0,Away,32.0,41.0,1351.0,41.6
2022-12-20,GSW,4.0,29.0,Home,25.0,40.9,1380.0,41.0
2022-12-21,TOR,16.0,38.0,Home,22.0,39.5,1418.0,40.9
2022-12-23,CHI,11.0,41.0,Home,30.0,38.6,1459.0,39.5
2022-12-25,PHI,5.0,32.0,Home,27.0,37.9,1491.0,38.6
2022-12-27,DAL,7.0,47.0,Away,40.0,38.7,1538.0,37.9
2022-12-29,SAS,14.0,48.0,Away,34.0,39.0,1586.0,38.7
2022-12-31,HOU,12.0,52.0,Away,40.0,40.1,1638.0,39.0
2023-01-02,PHO,5.0,36.0,Home,31.0,40.6,1674.0,40.1
2023-01-04,SAS,9.0,38.0,Home,29.0,40.5,1712.0,40.6
2023-01-06,TOR,12.0,46.0,Away,34.0,40.7,1758.0,40.5
2023-01-09,MIL,12.0,48.0,Home,36.0,42.6,1806.0,40.7
2023-01-11,IND,8.0,41.0,Home,33.0,42.9,1847.0,42.6
2023-01-13,WAS,12.0,50.0,Away,38.0,43.8,1897.0,42.9
2023-01-15,DET,9.0,38.0,Away,29.0,44.4,1935.0,43.8
2023-01-16,TOR,14.0,42.0,Home,28.0,43.9,1977.0,44.4
2023-01-18,WAS,18.0,52.0,Home,34.0,44.3,2029.0,43.9
2023-01-20,ATL,14.0,39.0,Away,25.0,43.0,2068.0,44.3
2023-01-22,TOR,17.0,45.0,Away,28.0,43.9,2113.0,43.0
2023-01-24,CLE,10.0,41.0,Home,31.0,44.2,2154.0,43.9
2023-01-26,BOS,15.0,54.0,Away,39.0,45.0,2208.0,44.2
2023-01-28,BRK,9.0,35.0,Away,26.0,43.7,2243.0,45.0
2023-01-31,LAL,11.0,44.0,Home,33.0,44.0,2287.0,43.7
2023-02-02,MIA,9.0,33.0,Home,24.0,42.3,2320.0,44.0
2023-02-04,LAC,9.0,46.0,Home,37.0,43.1,2366.0,42.3
2023-02-05,PHI,8.0,44.0,Home,36.0,43.3,2410.0,43.1
2023-02-07,ORL,9.0,41.0,Away,32.0,42.2,2451.0,43.3
2023-02-10,PHI,6.0,40.0,Away,34.0,42.3,2491.0,42.2
2023-02-11,UTA,11.0,38.0,Home,27.0,41.6,2529.0,42.3
2023-02-13,BRK,10.0,39.0,Home,29.0,41.4,2568.0,41.6
2023-02-15,ATL,8.0,40.0,Away,32.0,40.0,2608.0,41.4
2023-02-24,WAS,3.0,34.0,Away,31.0,39.9,2642.0,40.0
2023-02-25,NOP,13.0,39.0,Home,26.0,39.4,2681.0,39.9
2023-02-27,BOS,7.0,35.0,Home,28.0,39.6,2716.0,39.4
2023-03-01,BRK,5.0,31.0,Home,26.0,38.1,2747.0,39.6
2023-03-03,MIA,11.0,39.0,Away,28.0,37.6,2786.0,38.1
2023-03-05,BOS,17.0,54.0,Away,37.0,38.9,2840.0,37.6
2023-03-07,CHO,10.0,42.0,Home,32.0,39.1,2882.0,38.9
2023-03-09,SAC,6.0,42.0,Away,36.0,39.5,2924.0,39.1
2023-03-11,LAC,7.0,39.0,Away,32.0,39.5,2963.0,39.5
2023-03-12,LAL,10.0,37.0,Away,27.0,39.2,3000.0,39.5
2023-03-14,POR,11.0,38.0,Away,27.0,39.6,3038.0,39.2
2023-03-18,DEN,6.0,33.0,Home,27.0,39.0,3071.0,39.6
2023-03-20,MIN,7.0,34.0,Home,27.0,38.9,3105.0,39.0
2023-03-22,MIA,2.0,29.0,Away,27.0,38.7,3134.0,38.9
2023-03-23,ORL,8.0,43.0,Away,35.0,39.1,3177.0,38.7
