Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,MIN,14.0,55.0,Away,41.0,55.0,55.0,46.6219512195122
2022-10-22,DEN,9.0,46.0,Away,37.0,50.5,101.0,55.0
2022-10-23,MIN,12.0,54.0,Home,42.0,51.666666666666664,155.0,50.5
2022-10-25,LAC,7.0,47.0,Home,40.0,50.5,202.0,51.666666666666664
2022-10-27,LAC,10.0,44.0,Home,34.0,49.2,246.0,50.5
2022-10-29,DAL,12.0,49.0,Away,37.0,49.166666666666664,295.0,49.2
2022-11-01,ORL,12.0,49.0,Home,37.0,49.142857142857146,344.0,49.166666666666664
2022-11-03,DEN,8.0,47.0,Home,39.0,48.875,391.0,49.142857142857146
2022-11-05,MIL,18.0,55.0,Away,37.0,49.55555555555556,446.0,48.875
2022-11-07,DET,16.0,58.0,Away,42.0,50.4,504.0,49.55555555555556
2022-11-09,MIL,11.0,55.0,Home,44.0,50.4,559.0,50.4
2022-11-11,TOR,14.0,39.0,Home,25.0,49.7,598.0,50.4
2022-11-13,NYK,13.0,35.0,Away,22.0,47.8,633.0,49.7
2022-11-14,BOS,10.0,46.0,Away,36.0,47.7,679.0,47.8
2022-11-16,WAS,11.0,41.0,Away,30.0,47.4,720.0,47.7
2022-11-18,MEM,17.0,57.0,Away,40.0,48.2,777.0,47.4
2022-11-21,NYK,14.0,48.0,Home,34.0,48.1,825.0,48.2
2022-11-23,DEN,17.0,55.0,Home,38.0,48.9,880.0,48.1
2022-11-25,CHI,14.0,47.0,Home,33.0,48.1,927.0,48.9
2022-11-26,HOU,11.0,53.0,Away,42.0,47.6,980.0,48.1
2022-11-28,NOP,14.0,49.0,Away,35.0,47.0,1029.0,47.6
2022-11-30,SAS,13.0,44.0,Home,31.0,47.5,1073.0,47.0
2022-12-03,MIN,12.0,44.0,Away,32.0,48.4,1117.0,47.5
2022-12-05,ATL,17.0,54.0,Away,37.0,49.2,1171.0,48.4
2022-12-07,MEM,10.0,50.0,Away,40.0,50.1,1221.0,49.2
2022-12-10,CLE,12.0,48.0,Away,36.0,49.2,1269.0,50.1
2022-12-12,DAL,16.0,50.0,Away,34.0,49.4,1319.0,49.2
2022-12-14,MIA,7.0,39.0,Home,32.0,47.8,1358.0,49.4
2022-12-16,MIN,11.0,43.0,Home,32.0,47.4,1401.0,47.8
2022-12-17,MEM,10.0,53.0,Home,43.0,47.4,1454.0,47.4
2022-12-19,POR,14.0,45.0,Home,31.0,47.0,1499.0,47.4
2022-12-21,POR,9.0,36.0,Home,27.0,46.2,1535.0,47.0
2022-12-23,NOP,13.0,55.0,Home,42.0,47.3,1590.0,46.2
2022-12-27,SAS,16.0,41.0,Home,25.0,46.0,1631.0,47.3
2022-12-29,CHO,12.0,52.0,Away,40.0,46.2,1683.0,46.0
2022-12-31,PHI,14.0,56.0,Home,42.0,47.0,1739.0,46.2
2023-01-03,BOS,11.0,38.0,Home,27.0,45.8,1777.0,47.0
2023-01-04,ORL,13.0,49.0,Away,36.0,46.8,1826.0,45.8
2023-01-06,WAS,11.0,46.0,Home,35.0,47.1,1872.0,46.8
2023-01-08,DAL,8.0,39.0,Home,31.0,45.7,1911.0,47.1
2023-01-10,MIA,13.0,41.0,Away,28.0,45.3,1952.0,45.7
2023-01-12,PHI,9.0,39.0,Away,30.0,45.6,1991.0,45.3
2023-01-13,CHI,10.0,42.0,Away,32.0,44.3,2033.0,45.6
2023-01-15,BRK,14.0,51.0,Away,37.0,45.3,2084.0,44.3
2023-01-18,IND,20.0,48.0,Home,28.0,44.9,2132.0,45.3
2023-01-20,SAC,13.0,53.0,Away,40.0,44.6,2185.0,44.9
2023-01-22,DEN,10.0,42.0,Away,32.0,45.0,2227.0,44.6
2023-01-25,ATL,11.0,46.0,Home,35.0,44.7,2273.0,45.0
2023-01-27,CLE,11.0,37.0,Home,26.0,43.8,2310.0,44.7
2023-01-30,GSW,6.0,44.0,Home,38.0,44.3,2354.0,43.8
2023-02-01,HOU,24.0,65.0,Away,41.0,46.7,2419.0,44.3
2023-02-04,HOU,9.0,34.0,Home,25.0,46.2,2453.0,46.7
2023-02-06,GSW,11.0,45.0,Away,34.0,46.5,2498.0,46.2
2023-02-07,LAL,6.0,41.0,Away,35.0,45.5,2539.0,46.5
2023-02-10,POR,9.0,32.0,Away,23.0,43.9,2571.0,45.5
2023-02-13,NOP,4.0,33.0,Home,29.0,41.9,2604.0,43.9
2023-02-15,HOU,14.0,47.0,Home,33.0,42.4,2651.0,41.9
2023-02-23,UTA,17.0,58.0,Away,41.0,43.6,2709.0,42.4
2023-02-24,PHO,15.0,54.0,Away,39.0,45.3,2763.0,43.6
2023-02-26,SAC,13.0,48.0,Home,35.0,45.7,2811.0,45.3
2023-02-28,SAC,8.0,51.0,Home,43.0,44.3,2862.0,45.7
2023-03-01,LAL,10.0,41.0,Home,31.0,45.0,2903.0,44.3
2023-03-03,UTA,10.0,48.0,Home,38.0,45.3,2951.0,45.0
2023-03-05,UTA,12.0,39.0,Home,27.0,45.1,2990.0,45.3
2023-03-07,GSW,8.0,33.0,Home,25.0,45.2,3023.0,45.1
2023-03-08,PHO,14.0,54.0,Away,40.0,47.3,3077.0,45.2
2023-03-11,NOP,8.0,43.0,Away,35.0,46.9,3120.0,47.3
2023-03-12,SAS,10.0,50.0,Away,40.0,46.1,3170.0,46.9
2023-03-14,BRK,11.0,46.0,Home,35.0,45.3,3216.0,46.1
2023-03-16,TOR,19.0,59.0,Away,40.0,46.4,3275.0,45.3
2023-03-19,PHO,9.0,40.0,Home,31.0,45.3,3315.0,46.4
2023-03-21,LAC,12.0,46.0,Away,34.0,45.8,3361.0,45.3
2023-03-23,LAC,8.0,42.0,Away,34.0,45.2,3403.0,45.8
2023-03-24,LAL,16.0,53.0,Away,37.0,46.6,3456.0,45.2
2023-03-26,POR,8.0,37.0,Away,29.0,47.0,3493.0,46.6
2023-03-28,CHO,15.0,52.0,Home,37.0,46.8,3545.0,47.0
2023-03-29,DET,10.0,42.0,Home,32.0,46.7,3587.0,46.8
2023-03-31,IND,20.0,56.0,Away,36.0,47.3,3643.0,46.7
2023-04-02,PHO,5.0,38.0,Home,33.0,46.5,3681.0,47.3
2023-04-04,GSW,19.0,54.0,Away,35.0,46.0,3735.0,46.5
2023-04-06,UTA,7.0,45.0,Away,38.0,46.5,3780.0,46.0
2023-04-09,MEM,11.0,43.0,Home,32.0,46.2,3823.0,46.5
