Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,DET,12.0,41.0,Away,29.0,41.0,41.0
2022-10-21,ATL,9.0,46.0,Away,37.0,43.5,87.0
2022-10-22,BOS,7.0,37.0,Home,30.0,41.333333333333336,124.0
2022-10-24,NYK,18.0,50.0,Away,32.0,43.5,174.0
2022-10-26,CLE,12.0,43.0,Away,31.0,43.4,217.0
2022-10-28,CHO,10.0,47.0,Home,37.0,44.0,264.0
2022-10-30,DAL,5.0,37.0,Away,32.0,43.0,301.0
2022-11-01,OKC,8.0,36.0,Away,28.0,42.125,337.0
2022-11-03,GSW,9.0,35.0,Home,26.0,41.333333333333336,372.0
2022-11-05,SAC,6.0,36.0,Home,30.0,40.8,408.0
2022-11-07,HOU,14.0,40.0,Home,26.0,40.7,448.0
2022-11-09,DAL,4.0,29.0,Home,25.0,39.0,477.0
2022-11-11,PHO,11.0,38.0,Home,27.0,39.1,515.0
2022-11-14,CHO,14.0,37.0,Home,23.0,37.8,552.0
2022-11-16,MIN,8.0,40.0,Home,32.0,37.5,592.0
2022-11-18,CHI,13.0,46.0,Away,33.0,37.4,638.0
2022-11-19,IND,12.0,42.0,Away,30.0,37.9,680.0
2022-11-21,IND,12.0,48.0,Away,36.0,39.1,728.0
2022-11-25,PHI,13.0,47.0,Home,34.0,40.3,775.0
2022-11-27,PHI,6.0,43.0,Home,37.0,41.0,818.0
2022-11-28,BRK,8.0,42.0,Away,34.0,41.2,860.0
2022-11-30,ATL,14.0,49.0,Home,35.0,43.2,909.0
2022-12-02,CLE,5.0,33.0,Away,28.0,42.7,942.0
2022-12-03,TOR,12.0,43.0,Away,31.0,43.3,985.0
2022-12-05,MIL,7.0,45.0,Home,38.0,43.8,1030.0
2022-12-07,LAC,17.0,53.0,Home,36.0,44.5,1083.0
2022-12-09,TOR,7.0,33.0,Home,26.0,43.6,1116.0
2022-12-11,TOR,7.0,28.0,Home,21.0,41.6,1144.0
2022-12-14,ATL,11.0,39.0,Home,28.0,40.8,1183.0
2022-12-16,BOS,10.0,38.0,Away,28.0,40.3,1221.0
2022-12-18,BOS,11.0,54.0,Away,43.0,41.5,1275.0
2022-12-19,ATL,6.0,41.0,Away,35.0,40.7,1316.0
2022-12-21,HOU,9.0,49.0,Away,40.0,42.3,1365.0
2022-12-23,SAS,13.0,38.0,Home,25.0,41.8,1403.0
2022-12-27,LAL,9.0,46.0,Home,37.0,41.9,1449.0
2022-12-28,DET,11.0,49.0,Away,38.0,41.5,1498.0
2022-12-30,WAS,4.0,53.0,Home,49.0,43.5,1551.0
2023-01-04,OKC,9.0,33.0,Home,24.0,44.0,1584.0
2023-01-05,MEM,9.0,49.0,Home,40.0,45.0,1633.0
2023-01-07,GSW,11.0,49.0,Away,38.0,46.1,1682.0
2023-01-09,SAC,11.0,48.0,Away,37.0,45.5,1730.0
2023-01-10,POR,13.0,43.0,Away,30.0,45.7,1773.0
2023-01-13,UTA,17.0,59.0,Away,42.0,46.7,1832.0
2023-01-15,DEN,12.0,41.0,Away,29.0,47.0,1873.0
2023-01-20,NOP,11.0,39.0,Home,28.0,46.3,1912.0
2023-01-21,WAS,9.0,46.0,Away,37.0,46.0,1958.0
2023-01-23,BOS,8.0,37.0,Home,29.0,44.4,1995.0
2023-01-25,IND,10.0,32.0,Home,22.0,44.3,2027.0
2023-01-27,MIA,5.0,37.0,Away,32.0,43.1,2064.0
2023-01-28,CHI,4.0,38.0,Home,34.0,42.0,2102.0
2023-01-30,PHI,8.0,45.0,Away,37.0,41.7,2147.0
2023-02-01,PHI,7.0,43.0,Away,36.0,41.7,2190.0
2023-02-03,MIN,12.0,41.0,Away,29.0,39.9,2231.0
2023-02-05,CHO,8.0,39.0,Away,31.0,39.7,2270.0
2023-02-07,NYK,11.0,43.0,Home,32.0,40.1,2313.0
2023-02-09,DEN,7.0,39.0,Home,32.0,39.4,2352.0
2023-02-11,MIA,11.0,46.0,Home,35.0,40.3,2398.0
2023-02-13,CHI,10.0,44.0,Away,34.0,41.5,2442.0
2023-02-14,TOR,13.0,40.0,Away,27.0,41.8,2482.0
2023-02-23,DET,6.0,45.0,Home,39.0,42.5,2527.0
2023-02-25,IND,10.0,45.0,Home,35.0,42.5,2572.0
2023-02-27,NOP,9.0,38.0,Away,29.0,42.0,2610.0
