Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-18,BOS,6.0,36.0,Away,30.0,36.0,36.0,41.15853658536585
2022-10-20,MIL,7.0,48.0,Home,41.0,42.0,84.0,36.0
2022-10-22,SAS,12.0,43.0,Home,31.0,42.333333333333336,127.0,42.0
2022-10-24,IND,14.0,47.0,Home,33.0,43.5,174.0,42.333333333333336
2022-10-26,TOR,6.0,39.0,Away,33.0,42.6,213.0,43.5
2022-10-28,TOR,15.0,45.0,Away,30.0,43.0,258.0,42.6
2022-10-29,CHI,9.0,40.0,Away,31.0,42.57142857142857,298.0,43.0
2022-10-31,WAS,9.0,41.0,Away,32.0,42.375,339.0,42.57142857142857
2022-11-02,WAS,7.0,43.0,Home,36.0,42.44444444444444,382.0,42.375
2022-11-04,NYK,10.0,50.0,Home,40.0,43.2,432.0,42.44444444444444
2022-11-07,PHO,6.0,37.0,Home,31.0,43.3,469.0,43.2
2022-11-10,ATL,11.0,54.0,Away,43.0,43.9,523.0,43.3
2022-11-12,ATL,12.0,43.0,Home,31.0,43.9,566.0,43.9
2022-11-13,UTA,18.0,50.0,Home,32.0,44.2,616.0,43.9
2022-11-18,MIL,8.0,42.0,Home,34.0,44.5,658.0,44.2
2022-11-19,MIN,8.0,43.0,Home,35.0,44.3,701.0,44.5
2022-11-22,BRK,4.0,35.0,Home,31.0,43.8,736.0,44.3
2022-11-23,CHO,11.0,44.0,Away,33.0,44.1,780.0,43.8
2022-11-25,ORL,9.0,35.0,Away,26.0,43.3,815.0,44.1
2022-11-27,ORL,7.0,26.0,Away,19.0,40.9,841.0,43.3
2022-11-28,ATL,8.0,42.0,Home,34.0,41.4,883.0,40.9
2022-11-30,CLE,6.0,40.0,Away,34.0,40.0,923.0,41.4
2022-12-02,MEM,19.0,57.0,Away,38.0,41.4,980.0,40.0
2022-12-05,HOU,16.0,51.0,Away,35.0,41.5,1031.0,41.4
2022-12-09,LAL,7.0,37.0,Home,30.0,41.0,1068.0,41.5
2022-12-11,CHO,15.0,45.0,Home,30.0,41.2,1113.0,41.0
2022-12-13,SAC,13.0,48.0,Home,35.0,42.5,1161.0,41.2
2022-12-16,GSW,13.0,48.0,Home,35.0,42.9,1209.0,42.5
2022-12-19,TOR,9.0,50.0,Home,41.0,44.4,1259.0,42.9
2022-12-21,DET,11.0,46.0,Home,35.0,46.4,1305.0,44.4
2022-12-23,LAC,6.0,33.0,Home,27.0,45.5,1338.0,46.4
2022-12-25,NYK,12.0,46.0,Away,34.0,46.1,1384.0,45.5
2022-12-27,WAS,14.0,39.0,Away,25.0,44.3,1423.0,46.1
2022-12-30,NOP,7.0,36.0,Away,29.0,42.8,1459.0,44.3
2022-12-31,OKC,15.0,50.0,Away,35.0,44.1,1509.0,42.8
2023-01-02,NOP,10.0,49.0,Home,39.0,44.5,1558.0,44.1
2023-01-04,IND,13.0,45.0,Home,32.0,44.2,1603.0,44.5
2023-01-06,CHI,8.0,45.0,Home,37.0,43.9,1648.0,44.2
2023-01-08,DET,10.0,43.0,Away,33.0,43.2,1691.0,43.9
2023-01-10,DET,3.0,26.0,Home,23.0,41.2,1717.0,43.2
2023-01-12,OKC,5.0,39.0,Home,34.0,41.8,1756.0,41.2
2023-01-14,UTA,10.0,48.0,Away,38.0,42.0,1804.0,41.8
2023-01-15,LAL,4.0,38.0,Away,34.0,41.9,1842.0,42.0
2023-01-17,LAC,8.0,33.0,Away,25.0,41.6,1875.0,41.9
2023-01-19,POR,13.0,44.0,Away,31.0,41.0,1919.0,41.6
2023-01-21,SAC,4.0,29.0,Away,25.0,39.0,1948.0,41.0
2023-01-25,BRK,6.0,31.0,Home,25.0,37.6,1979.0,39.0
2023-01-28,DEN,6.0,36.0,Home,30.0,36.7,2015.0,37.6
2023-01-30,ORL,15.0,50.0,Home,35.0,37.4,2065.0,36.7
2023-02-01,ORL,12.0,46.0,Home,34.0,39.4,2111.0,37.4
2023-02-03,SAS,9.0,35.0,Away,26.0,39.0,2146.0,39.4
2023-02-05,NYK,14.0,49.0,Away,35.0,39.1,2195.0,39.0
2023-02-08,BOS,5.0,44.0,Away,39.0,39.7,2239.0,39.1
2023-02-10,NYK,4.0,35.0,Home,31.0,39.9,2274.0,39.7
2023-02-11,BRK,12.0,42.0,Away,30.0,39.7,2316.0,39.9
2023-02-13,HOU,15.0,42.0,Home,27.0,41.0,2358.0,39.7
2023-02-15,CLE,10.0,35.0,Home,25.0,41.4,2393.0,41.0
2023-02-23,MEM,13.0,49.0,Home,36.0,42.7,2442.0,41.4
2023-02-25,BOS,9.0,44.0,Home,35.0,42.1,2486.0,42.7
2023-02-27,MIA,12.0,37.0,Home,25.0,41.2,2523.0,42.1
2023-03-01,MIA,5.0,33.0,Away,28.0,41.0,2556.0,41.2
2023-03-02,DAL,5.0,31.0,Away,26.0,39.2,2587.0,41.0
2023-03-04,MIL,11.0,43.0,Away,32.0,39.1,2630.0,39.2
2023-03-06,IND,5.0,30.0,Away,25.0,38.6,2660.0,39.1
2023-03-07,MIN,6.0,34.0,Away,28.0,37.8,2694.0,38.6
2023-03-10,POR,5.0,36.0,Home,31.0,37.2,2730.0,37.8
2023-03-12,WAS,6.0,35.0,Home,29.0,37.2,2765.0,37.2
2023-03-15,CLE,12.0,33.0,Away,21.0,35.6,2798.0,37.2
2023-03-17,CHO,7.0,35.0,Away,28.0,34.7,2833.0,35.6
2023-03-18,IND,12.0,41.0,Away,29.0,35.1,2874.0,34.7
2023-03-20,CHI,4.0,42.0,Home,38.0,36.0,2916.0,35.1
2023-03-22,CHI,15.0,42.0,Away,27.0,37.1,2958.0,36.0
2023-03-24,GSW,10.0,49.0,Away,39.0,37.7,3007.0,37.1
2023-03-25,PHO,13.0,45.0,Away,32.0,39.2,3052.0,37.7
2023-03-27,DEN,10.0,42.0,Away,32.0,40.0,3094.0,39.2
2023-03-29,DAL,8.0,40.0,Home,32.0,40.4,3134.0,40.0
2023-03-31,TOR,14.0,34.0,Home,20.0,40.3,3168.0,40.4
2023-04-02,MIL,7.0,42.0,Away,35.0,41.2,3210.0,40.3
2023-04-04,BOS,13.0,43.0,Home,30.0,42.0,3253.0,41.2
2023-04-06,MIA,10.0,42.0,Home,32.0,42.1,3295.0,42.0
2023-04-07,ATL,4.0,38.0,Away,34.0,41.7,3333.0,42.1
2023-04-09,BRK,10.0,42.0,Away,32.0,41.7,3375.0,41.7
