Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,DAL,5.0,40.0,Home,35.0,40.0,40.0,42.8780487804878
2022-10-21,POR,13.0,48.0,Away,35.0,44.0,88.0,40.0
2022-10-23,LAC,9.0,43.0,Away,34.0,43.666666666666664,131.0,44.0
2022-10-25,GSW,10.0,40.0,Home,30.0,42.75,171.0,43.666666666666664
2022-10-28,NOP,9.0,33.0,Home,24.0,40.8,204.0,42.75
2022-10-30,HOU,17.0,49.0,Home,32.0,42.166666666666664,253.0,40.8
2022-11-01,MIN,10.0,42.0,Home,32.0,42.142857142857146,295.0,42.166666666666664
2022-11-04,POR,11.0,42.0,Home,31.0,42.125,337.0,42.142857142857146
2022-11-05,POR,8.0,40.0,Home,32.0,41.888888888888886,377.0,42.125
2022-11-07,PHI,15.0,48.0,Away,33.0,42.5,425.0,41.888888888888886
2022-11-09,MIN,8.0,38.0,Away,30.0,42.3,463.0,42.5
2022-11-11,ORL,9.0,50.0,Away,41.0,42.5,513.0,42.3
2022-11-14,MIA,17.0,42.0,Away,25.0,42.4,555.0,42.5
2022-11-16,GSW,6.0,40.0,Home,34.0,42.4,595.0,42.4
2022-11-18,UTA,11.0,36.0,Away,25.0,42.7,631.0,42.4
2022-11-20,NYK,10.0,39.0,Home,29.0,41.7,670.0,42.7
2022-11-22,LAL,7.0,45.0,Home,38.0,42.0,715.0,41.7
2022-11-25,DET,19.0,49.0,Home,30.0,42.7,764.0,42.0
2022-11-26,UTA,8.0,40.0,Home,32.0,42.7,804.0,42.7
2022-11-28,SAC,8.0,37.0,Away,29.0,41.6,841.0,42.7
2022-11-30,CHI,5.0,35.0,Home,30.0,41.3,876.0,41.6
2022-12-02,HOU,13.0,41.0,Home,28.0,40.4,917.0,41.3
2022-12-04,SAS,12.0,40.0,Away,28.0,40.2,957.0,40.4
2022-12-05,DAL,10.0,41.0,Away,31.0,40.3,998.0,40.2
