Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,SAC,4.0,41.0,Away,37.0,41.0,41.0
2022-10-21,PHO,9.0,41.0,Home,32.0,41.0,82.0
2022-10-23,LAL,10.0,40.0,Away,30.0,40.666666666666664,122.0
2022-10-24,DEN,10.0,38.0,Home,28.0,40.0,160.0
2022-10-26,MIA,15.0,46.0,Home,31.0,41.2,206.0
2022-10-28,HOU,13.0,39.0,Home,26.0,40.833333333333336,245.0
2022-11-02,MEM,10.0,46.0,Home,36.0,41.57142857142857,291.0
2022-11-04,PHO,13.0,39.0,Away,26.0,41.25,330.0
2022-11-05,PHO,11.0,44.0,Away,33.0,41.55555555555556,374.0
2022-11-07,MIA,5.0,32.0,Away,27.0,40.6,406.0
2022-11-09,CHO,20.0,42.0,Away,22.0,40.7,448.0
2022-11-10,NOP,9.0,45.0,Away,36.0,41.1,493.0
2022-11-12,DAL,7.0,40.0,Away,33.0,41.1,533.0
2022-11-15,SAS,11.0,38.0,Home,27.0,41.1,571.0
2022-11-17,BRK,5.0,47.0,Home,42.0,41.2,618.0
2022-11-19,UTA,11.0,42.0,Home,31.0,41.5,660.0
2022-11-21,MIL,10.0,42.0,Away,32.0,41.1,702.0
2022-11-23,CLE,11.0,39.0,Away,28.0,41.1,741.0
2022-11-25,NYK,12.0,44.0,Away,32.0,41.1,785.0
2022-11-27,BRK,4.0,38.0,Away,34.0,41.7,823.0
2022-11-29,LAC,14.0,48.0,Home,34.0,42.3,871.0
2022-11-30,LAL,13.0,48.0,Away,35.0,42.6,919.0
2022-12-03,UTA,10.0,44.0,Away,34.0,43.0,963.0
2022-12-04,IND,12.0,44.0,Home,32.0,43.6,1007.0
2022-12-08,DEN,16.0,48.0,Home,32.0,43.7,1055.0
2022-12-10,MIN,4.0,28.0,Home,24.0,42.3,1083.0
2022-12-12,MIN,7.0,37.0,Home,30.0,41.8,1120.0
2022-12-14,SAS,14.0,40.0,Away,26.0,41.9,1160.0
2022-12-16,DAL,3.0,40.0,Away,37.0,41.5,1200.0
2022-12-17,HOU,18.0,51.0,Away,33.0,42.8,1251.0
2022-12-19,OKC,11.0,39.0,Away,28.0,41.9,1290.0
2022-12-21,OKC,9.0,37.0,Away,28.0,40.8,1327.0
2022-12-23,DEN,4.0,38.0,Away,34.0,40.2,1365.0
2022-12-26,CHO,18.0,45.0,Home,27.0,40.3,1410.0
2022-12-30,GSW,17.0,46.0,Away,29.0,40.1,1456.0
2023-01-02,DET,9.0,45.0,Home,36.0,41.8,1501.0
2023-01-04,MIN,8.0,33.0,Away,25.0,41.4,1534.0
2023-01-06,IND,4.0,41.0,Away,37.0,41.5,1575.0
2023-01-08,TOR,13.0,41.0,Away,28.0,41.6,1616.0
2023-01-10,ORL,6.0,35.0,Home,29.0,40.0,1651.0
2023-01-12,CLE,12.0,44.0,Home,32.0,40.5,1695.0
2023-01-14,DAL,2.0,25.0,Home,23.0,39.3,1720.0
2023-01-15,DAL,13.0,39.0,Home,26.0,39.4,1759.0
2023-01-17,DEN,11.0,42.0,Away,31.0,39.1,1801.0
2023-01-19,PHI,5.0,43.0,Home,38.0,38.8,1844.0
2023-01-22,LAL,10.0,51.0,Home,41.0,39.4,1895.0
2023-01-23,SAS,14.0,40.0,Home,26.0,40.1,1935.0
2023-01-25,UTA,8.0,35.0,Home,27.0,39.5,1970.0
2023-01-28,TOR,15.0,45.0,Home,30.0,39.9,2015.0
2023-01-30,ATL,17.0,45.0,Home,28.0,40.9,2060.0
2023-02-01,MEM,12.0,44.0,Away,32.0,40.9,2104.0
2023-02-03,WAS,9.0,41.0,Away,32.0,42.5,2145.0
2023-02-04,CHI,6.0,41.0,Away,35.0,42.7,2186.0
2023-02-06,MIL,7.0,55.0,Home,48.0,44.0,2241.0
2023-02-08,GSW,10.0,32.0,Home,22.0,42.9,2273.0
2023-02-10,OKC,10.0,29.0,Home,19.0,40.7,2302.0
2023-02-13,LAL,14.0,56.0,Home,42.0,42.3,2358.0
2023-02-14,WAS,5.0,44.0,Home,39.0,43.2,2402.0
2023-02-23,SAC,12.0,49.0,Away,37.0,43.6,2451.0
2023-02-26,HOU,18.0,48.0,Home,30.0,43.9,2499.0
2023-02-28,GSW,12.0,46.0,Away,34.0,44.1,2545.0
2023-03-01,NOP,11.0,41.0,Home,30.0,44.1,2586.0
2023-03-03,ATL,10.0,43.0,Away,33.0,44.3,2629.0
2023-03-05,ORL,6.0,38.0,Away,32.0,42.6,2667.0
2023-03-06,DET,16.0,52.0,Away,36.0,44.6,2719.0
2023-03-08,BOS,5.0,45.0,Away,40.0,46.2,2764.0
2023-03-10,PHI,12.0,42.0,Away,30.0,44.8,2806.0
2023-03-12,NOP,8.0,43.0,Away,35.0,44.7,2849.0
2023-03-14,NYK,9.0,52.0,Home,43.0,45.0,2901.0
2023-03-17,BOS,18.0,52.0,Home,34.0,45.4,2953.0
2023-03-19,LAC,18.0,49.0,Home,31.0,45.7,3002.0
2023-03-22,UTA,7.0,47.0,Away,40.0,46.3,3049.0
2023-03-24,CHI,11.0,47.0,Home,36.0,46.7,3096.0
2023-03-26,OKC,13.0,42.0,Home,29.0,47.1,3138.0
2023-03-27,NOP,8.0,53.0,Home,45.0,47.2,3191.0
2023-03-29,SAC,10.0,59.0,Home,49.0,48.6,3250.0
2023-03-31,SAC,8.0,41.0,Home,33.0,48.5,3291.0
2023-04-02,MIN,7.0,47.0,Away,40.0,48.9,3338.0
2023-04-04,MEM,8.0,49.0,Away,41.0,48.6,3387.0
2023-04-06,SAS,18.0,47.0,Away,29.0,48.1,3434.0
2023-04-08,LAC,13.0,51.0,Away,38.0,48.3,3485.0
2023-04-09,GSW,9.0,58.0,Home,49.0,49.4,3543.0
