Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,POR,11.0,44.0,Home,33.0,44.0,44.0
2022-10-22,LAC,5.0,40.0,Home,35.0,42.0,84.0
2022-10-23,GSW,6.0,37.0,Away,31.0,40.333333333333336,121.0
2022-10-27,MEM,11.0,43.0,Home,32.0,41.0,164.0
2022-10-29,MIA,9.0,34.0,Home,25.0,39.6,198.0
2022-10-31,CHO,6.0,38.0,Away,32.0,39.333333333333336,236.0
2022-11-02,MIA,9.0,46.0,Away,37.0,40.285714285714285,282.0
2022-11-05,ORL,7.0,48.0,Away,41.0,41.25,330.0
2022-11-07,GSW,8.0,48.0,Away,40.0,42.0,378.0
2022-11-09,CLE,12.0,42.0,Home,30.0,42.0,420.0
2022-11-11,LAL,14.0,41.0,Away,27.0,41.7,461.0
2022-11-13,GSW,8.0,43.0,Home,35.0,42.0,504.0
2022-11-15,BRK,3.0,29.0,Home,26.0,41.2,533.0
2022-11-17,SAS,7.0,32.0,Home,25.0,40.1,565.0
2022-11-20,DET,10.0,35.0,Home,25.0,40.2,600.0
2022-11-22,MEM,13.0,49.0,Away,36.0,41.3,649.0
2022-11-23,ATL,10.0,47.0,Away,37.0,41.4,696.0
2022-11-25,BOS,4.0,38.0,Away,34.0,40.4,734.0
2022-11-28,PHO,11.0,45.0,Home,34.0,40.1,779.0
2022-11-30,IND,12.0,47.0,Home,35.0,40.6,826.0
2022-12-03,LAC,17.0,50.0,Away,33.0,41.5,876.0
2022-12-04,CHI,7.0,39.0,Home,32.0,41.1,915.0
2022-12-07,MIL,17.0,50.0,Away,33.0,43.2,965.0
2022-12-09,CLE,8.0,36.0,Away,28.0,43.6,1001.0
2022-12-11,NYK,15.0,55.0,Away,40.0,45.6,1056.0
2022-12-13,PHI,4.0,42.0,Away,38.0,44.9,1098.0
2022-12-14,TOR,11.0,39.0,Away,28.0,44.1,1137.0
2022-12-16,DET,14.0,46.0,Away,32.0,44.9,1183.0
2022-12-19,CHO,11.0,56.0,Home,45.0,46.0,1239.0
2022-12-21,LAL,5.0,39.0,Home,34.0,45.2,1278.0
2022-12-23,WAS,5.0,40.0,Home,35.0,44.2,1318.0
2022-12-27,DEN,10.0,40.0,Home,30.0,44.3,1358.0
2022-12-28,DEN,7.0,34.0,Home,27.0,42.7,1392.0
2022-12-30,UTA,7.0,37.0,Home,30.0,42.8,1429.0
2023-01-01,MEM,21.0,57.0,Away,36.0,43.0,1486.0
2023-01-03,UTA,12.0,44.0,Away,32.0,43.2,1530.0
2023-01-04,ATL,7.0,44.0,Home,37.0,43.7,1574.0
2023-01-07,LAL,10.0,38.0,Home,28.0,42.9,1612.0
2023-01-09,ORL,9.0,41.0,Home,32.0,41.4,1653.0
2023-01-11,HOU,8.0,48.0,Home,40.0,42.3,1701.0
2023-01-13,HOU,12.0,34.0,Home,22.0,41.7,1735.0
2023-01-15,SAS,11.0,40.0,Away,29.0,41.7,1775.0
2023-01-18,LAL,6.0,36.0,Away,30.0,41.9,1811.0
2023-01-20,OKC,8.0,36.0,Home,28.0,41.8,1847.0
2023-01-21,PHI,16.0,46.0,Home,30.0,40.7,1893.0
2023-01-23,MEM,10.0,31.0,Home,21.0,39.4,1924.0
2023-01-25,TOR,11.0,41.0,Home,30.0,39.1,1965.0
2023-01-28,MIN,9.0,44.0,Away,35.0,39.7,2009.0
2023-01-30,MIN,8.0,49.0,Away,41.0,40.5,2058.0
2023-02-01,SAS,8.0,40.0,Away,32.0,39.7,2098.0
2023-02-03,IND,9.0,47.0,Away,38.0,41.0,2145.0
2023-02-05,NOP,12.0,48.0,Away,36.0,41.8,2193.0
2023-02-06,HOU,11.0,39.0,Away,28.0,42.1,2232.0
2023-02-08,HOU,15.0,44.0,Away,29.0,42.9,2276.0
2023-02-10,DAL,11.0,39.0,Home,28.0,42.2,2315.0
2023-02-11,DAL,7.0,43.0,Home,36.0,43.4,2358.0
2023-02-14,PHO,8.0,37.0,Away,29.0,43.0,2395.0
2023-02-23,POR,9.0,33.0,Home,24.0,41.9,2428.0
2023-02-24,LAC,7.0,42.0,Away,35.0,41.2,2470.0
2023-02-26,OKC,9.0,37.0,Away,28.0,40.9,2507.0
2023-02-28,OKC,12.0,42.0,Away,30.0,40.4,2549.0
2023-03-03,LAC,6.0,32.0,Home,26.0,38.8,2581.0
2023-03-04,MIN,6.0,40.0,Home,34.0,38.9,2621.0
2023-03-06,NOP,7.0,40.0,Home,33.0,38.5,2661.0
2023-03-09,NYK,23.0,58.0,Home,35.0,40.4,2719.0
2023-03-11,PHO,7.0,40.0,Away,33.0,40.1,2759.0
2023-03-13,MIL,5.0,43.0,Home,38.0,40.7,2802.0
2023-03-15,CHI,13.0,48.0,Away,35.0,42.2,2850.0
2023-03-16,BRK,3.0,41.0,Away,38.0,42.1,2891.0
2023-03-18,WAS,12.0,46.0,Away,34.0,43.0,2937.0
2023-03-20,UTA,6.0,48.0,Away,42.0,43.6,2985.0
2023-03-21,BOS,11.0,43.0,Home,32.0,44.7,3028.0
2023-03-24,PHO,12.0,43.0,Home,31.0,45.0,3071.0
2023-03-25,UTA,11.0,45.0,Home,34.0,45.5,3116.0
2023-03-27,MIN,11.0,40.0,Home,29.0,43.7,3156.0
2023-03-29,POR,8.0,45.0,Away,37.0,44.2,3201.0
2023-03-31,POR,9.0,33.0,Away,24.0,43.2,3234.0
2023-04-02,SAS,14.0,52.0,Home,38.0,43.6,3286.0
2023-04-04,NOP,9.0,37.0,Away,28.0,43.2,3323.0
2023-04-05,DAL,7.0,39.0,Away,32.0,42.5,3362.0
2023-04-07,GSW,10.0,47.0,Home,37.0,42.4,3409.0
2023-04-09,DEN,15.0,51.0,Away,36.0,43.2,3460.0
