Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,CHO,14.0,51.0,Home,37.0,51.0,51.0
2022-10-21,IND,14.0,42.0,Away,28.0,46.5,93.0
2022-10-22,PHI,12.0,40.0,Away,28.0,44.333333333333336,133.0
2022-10-24,MIN,10.0,50.0,Away,40.0,45.75,183.0
2022-10-26,MIN,0.0,30.0,Away,30.0,42.6,213.0
2022-10-28,CHI,15.0,42.0,Home,27.0,42.5,255.0
2022-10-30,MIN,16.0,45.0,Home,29.0,42.857142857142854,300.0
2022-11-02,TOR,9.0,50.0,Home,41.0,43.75,350.0
2022-11-04,LAC,3.0,44.0,Home,41.0,43.77777777777778,394.0
2022-11-05,DEN,10.0,47.0,Away,37.0,44.1,441.0
2022-11-07,DEN,8.0,40.0,Home,32.0,43.0,481.0
2022-11-09,MEM,18.0,53.0,Home,35.0,44.1,534.0
2022-11-11,MIL,21.0,48.0,Home,27.0,44.9,582.0
2022-11-14,GSW,5.0,40.0,Away,35.0,43.9,622.0
2022-11-15,POR,9.0,39.0,Away,30.0,44.8,661.0
2022-11-17,SAC,6.0,37.0,Away,31.0,44.3,698.0
2022-11-19,LAC,7.0,35.0,Away,28.0,43.3,733.0
2022-11-20,LAL,5.0,54.0,Away,49.0,43.7,787.0
2022-11-23,NOP,8.0,42.0,Home,34.0,43.5,829.0
2022-11-25,LAL,10.0,49.0,Home,39.0,43.7,878.0
2022-11-26,LAL,3.0,39.0,Home,36.0,43.6,917.0
2022-11-30,OKC,15.0,52.0,Away,37.0,43.5,969.0
2022-12-02,NOP,10.0,53.0,Home,43.0,44.0,1022.0
2022-12-04,PHO,14.0,45.0,Home,31.0,44.5,1067.0
2022-12-08,HOU,16.0,42.0,Home,26.0,44.8,1109.0
2022-12-10,MIA,5.0,32.0,Away,27.0,44.3,1141.0
2022-12-12,CLE,15.0,44.0,Home,29.0,45.2,1185.0
2022-12-14,POR,5.0,40.0,Home,35.0,43.8,1225.0
2022-12-17,MIA,8.0,40.0,Home,32.0,43.6,1265.0
2022-12-19,HOU,16.0,41.0,Away,25.0,42.8,1306.0
2022-12-22,NOP,16.0,46.0,Away,30.0,43.5,1352.0
2022-12-23,ORL,7.0,44.0,Away,37.0,42.7,1396.0
2022-12-26,UTA,16.0,45.0,Home,29.0,41.9,1441.0
2022-12-27,OKC,13.0,45.0,Away,32.0,41.9,1486.0
2022-12-29,NYK,13.0,38.0,Home,25.0,41.5,1524.0
2022-12-31,DAL,6.0,26.0,Home,20.0,40.9,1550.0
2023-01-02,BRK,7.0,45.0,Away,38.0,41.0,1595.0
2023-01-04,NYK,14.0,47.0,Away,33.0,41.7,1642.0
2023-01-06,DET,15.0,37.0,Home,22.0,41.4,1679.0
2023-01-07,BOS,8.0,43.0,Home,35.0,41.6,1722.0
2023-01-09,MEM,11.0,50.0,Away,39.0,42.0,1772.0
2023-01-11,MEM,17.0,57.0,Away,40.0,43.3,1829.0
2023-01-13,GSW,12.0,55.0,Home,43.0,44.3,1884.0
2023-01-15,SAC,7.0,38.0,Home,31.0,43.6,1922.0
2023-01-17,BRK,10.0,49.0,Home,39.0,44.7,1971.0
2023-01-20,LAC,11.0,32.0,Home,21.0,45.3,2003.0
2023-01-23,POR,8.0,36.0,Away,28.0,44.4,2039.0
2023-01-25,LAL,11.0,56.0,Away,45.0,45.3,2095.0
2023-01-26,LAC,6.0,37.0,Away,31.0,45.3,2132.0
2023-01-28,PHO,17.0,52.0,Home,35.0,46.2,2184.0
2023-01-30,WAS,5.0,45.0,Home,40.0,45.7,2229.0
2023-02-01,SAC,6.0,34.0,Home,28.0,43.4,2263.0
2023-02-03,PHI,14.0,39.0,Home,25.0,41.8,2302.0
2023-02-06,CHI,7.0,49.0,Away,42.0,42.9,2351.0
2023-02-08,TOR,9.0,51.0,Away,42.0,43.1,2402.0
2023-02-10,DET,21.0,62.0,Away,41.0,46.1,2464.0
2023-02-11,ATL,14.0,48.0,Away,34.0,47.3,2512.0
2023-02-13,CLE,11.0,36.0,Away,25.0,45.3,2548.0
2023-02-15,CHO,15.0,58.0,Away,43.0,47.4,2606.0
2023-02-23,DAL,3.0,36.0,Away,33.0,45.8,2642.0
2023-02-25,UTA,15.0,56.0,Away,41.0,46.9,2698.0
2023-02-28,UTA,14.0,52.0,Away,38.0,48.7,2750.0
2023-03-02,IND,6.0,40.0,Home,34.0,48.8,2790.0
2023-03-04,HOU,14.0,45.0,Home,31.0,48.4,2835.0
2023-03-05,HOU,6.0,44.0,Away,38.0,47.7,2879.0
2023-03-10,DEN,8.0,33.0,Home,25.0,44.8,2912.0
2023-03-12,OKC,12.0,55.0,Home,43.0,45.5,2967.0
2023-03-14,ORL,13.0,42.0,Home,29.0,46.1,3009.0
2023-03-15,DAL,10.0,52.0,Home,42.0,45.5,3061.0
2023-03-17,MEM,15.0,52.0,Home,37.0,47.1,3113.0
2023-03-19,ATL,20.0,51.0,Home,31.0,46.6,3164.0
2023-03-21,NOP,5.0,49.0,Away,44.0,46.3,3213.0
2023-03-22,MIL,10.0,54.0,Away,44.0,47.7,3267.0
2023-03-24,WAS,6.0,43.0,Away,37.0,47.5,3310.0
2023-03-26,BOS,9.0,61.0,Away,52.0,49.2,3371.0
2023-03-29,UTA,8.0,45.0,Home,37.0,50.4,3416.0
2023-03-31,GSW,14.0,45.0,Away,31.0,49.4,3461.0
2023-04-02,SAC,13.0,43.0,Away,30.0,49.5,3504.0
2023-04-04,PHO,15.0,57.0,Away,42.0,50.0,3561.0
2023-04-06,POR,8.0,36.0,Home,28.0,48.4,3597.0
2023-04-08,MIN,11.0,45.0,Home,34.0,47.8,3642.0
2023-04-09,DAL,8.0,46.0,Away,38.0,47.5,3688.0
