Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,CLE,6.0,38.0,Home,32.0,38.0,38.0
2022-10-21,BRK,13.0,44.0,Away,31.0,41.0,82.0
2022-10-22,MIA,6.0,44.0,Away,38.0,42.0,126.0
2022-10-24,MIA,8.0,46.0,Away,38.0,43.0,172.0
2022-10-26,PHI,4.0,34.0,Home,30.0,41.2,206.0
2022-10-28,PHI,7.0,41.0,Home,34.0,41.166666666666664,247.0
2022-10-31,ATL,7.0,37.0,Home,30.0,40.57142857142857,284.0
2022-11-02,SAS,13.0,46.0,Away,33.0,41.25,330.0
2022-11-04,DAL,6.0,31.0,Away,25.0,40.111111111111114,361.0
2022-11-06,CHI,15.0,46.0,Home,31.0,40.7,407.0
2022-11-07,CHI,9.0,49.0,Away,40.0,41.8,456.0
2022-11-09,HOU,16.0,49.0,Home,33.0,42.3,505.0
2022-11-11,OKC,15.0,44.0,Away,29.0,42.3,549.0
2022-11-12,IND,11.0,51.0,Away,40.0,42.8,600.0
2022-11-14,DET,11.0,39.0,Away,28.0,43.3,639.0
2022-11-16,MIA,4.0,23.0,Home,19.0,41.5,662.0
2022-11-19,ATL,11.0,50.0,Away,39.0,42.8,712.0
2022-11-23,BRK,7.0,39.0,Home,32.0,42.1,751.0
2022-11-26,DAL,4.0,34.0,Home,30.0,42.4,785.0
2022-11-28,CLE,13.0,47.0,Home,34.0,42.5,832.0
2022-11-30,NOP,12.0,52.0,Away,40.0,42.8,884.0
2022-12-02,BRK,7.0,41.0,Away,34.0,42.0,925.0
2022-12-03,ORL,5.0,29.0,Home,24.0,40.5,954.0
2022-12-05,BOS,13.0,49.0,Home,36.0,40.3,1003.0
2022-12-07,LAL,10.0,46.0,Home,36.0,41.0,1049.0
2022-12-09,ORL,3.0,43.0,Away,40.0,43.0,1092.0
2022-12-11,ORL,11.0,42.0,Away,31.0,42.2,1134.0
2022-12-14,SAC,13.0,50.0,Home,37.0,43.3,1184.0
2022-12-16,BRK,4.0,37.0,Home,33.0,43.6,1221.0
2022-12-18,GSW,12.0,41.0,Home,29.0,43.0,1262.0
2022-12-19,PHI,4.0,41.0,Away,37.0,41.9,1303.0
2022-12-21,NYK,9.0,38.0,Away,29.0,41.6,1341.0
2022-12-23,CLE,6.0,35.0,Away,29.0,42.2,1376.0
2022-12-27,LAC,15.0,47.0,Home,32.0,42.0,1423.0
2022-12-29,MEM,17.0,53.0,Home,36.0,42.7,1476.0
2022-12-30,PHO,9.0,42.0,Home,33.0,42.6,1518.0
2023-01-02,IND,15.0,50.0,Away,35.0,43.4,1568.0
2023-01-04,MIL,13.0,73.0,Home,60.0,45.7,1641.0
