Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,DEN,10.0,35.0,Home,25.0,35.0,35.0
2022-10-21,MIN,21.0,60.0,Away,39.0,47.5,95.0
2022-10-23,NOP,14.0,45.0,Away,31.0,46.666666666666664,140.0
2022-10-24,HOU,17.0,47.0,Away,30.0,46.75,187.0
2022-10-26,HOU,14.0,49.0,Home,35.0,47.2,236.0
2022-10-28,DEN,17.0,58.0,Away,41.0,49.0,294.0
2022-10-29,MEM,10.0,40.0,Home,30.0,47.714285714285715,334.0
2022-10-31,MEM,18.0,52.0,Home,34.0,48.25,386.0
2022-11-02,DAL,7.0,37.0,Away,30.0,47.0,423.0
2022-11-04,LAL,9.0,40.0,Away,31.0,46.3,463.0
2022-11-06,LAC,4.0,32.0,Away,28.0,46.0,495.0
2022-11-07,LAL,7.0,33.0,Home,26.0,43.3,528.0
2022-11-09,ATL,17.0,54.0,Away,37.0,44.2,582.0
2022-11-12,WAS,6.0,46.0,Away,40.0,44.1,628.0
2022-11-13,PHI,8.0,39.0,Away,31.0,43.1,667.0
2022-11-15,NYK,13.0,43.0,Home,30.0,41.6,710.0
2022-11-18,PHO,12.0,42.0,Home,30.0,41.8,752.0
2022-11-19,POR,10.0,43.0,Away,33.0,40.9,795.0
2022-11-21,LAC,12.0,41.0,Away,29.0,41.3,836.0
2022-11-23,DET,8.0,38.0,Home,30.0,41.1,874.0
2022-11-25,GSW,16.0,49.0,Away,33.0,42.8,923.0
2022-11-26,PHO,18.0,48.0,Away,30.0,44.3,971.0
2022-11-28,CHI,13.0,50.0,Home,37.0,43.9,1021.0
2022-11-30,LAC,17.0,39.0,Home,22.0,43.2,1060.0
2022-12-02,IND,9.0,35.0,Home,26.0,42.8,1095.0
2022-12-03,POR,12.0,49.0,Home,37.0,43.4,1144.0
2022-12-07,GSW,14.0,42.0,Home,28.0,43.4,1186.0
2022-12-09,MIN,6.0,44.0,Home,38.0,43.5,1230.0
2022-12-10,DEN,6.0,39.0,Away,33.0,43.3,1269.0
2022-12-13,NOP,15.0,43.0,Home,28.0,43.8,1312.0
2022-12-15,NOP,19.0,49.0,Home,30.0,43.8,1361.0
2022-12-17,MIL,15.0,54.0,Away,39.0,44.4,1415.0
2022-12-19,CLE,4.0,45.0,Away,41.0,43.9,1460.0
2022-12-20,DET,9.0,43.0,Away,34.0,44.3,1503.0
2022-12-22,WAS,3.0,37.0,Home,34.0,44.5,1540.0
2022-12-26,SAS,6.0,41.0,Away,35.0,43.7,1581.0
2022-12-28,GSW,10.0,51.0,Away,41.0,44.6,1632.0
2022-12-30,SAC,10.0,38.0,Away,28.0,44.0,1670.0
2022-12-31,MIA,10.0,37.0,Home,27.0,43.8,1707.0
2023-01-03,SAC,7.0,40.0,Home,33.0,43.5,1747.0
2023-01-05,HOU,14.0,49.0,Away,35.0,43.5,1796.0
2023-01-07,CHI,7.0,44.0,Away,37.0,42.5,1840.0
2023-01-08,MEM,13.0,39.0,Away,26.0,41.9,1879.0
2023-01-10,CLE,7.0,37.0,Home,30.0,41.3,1916.0
2023-01-13,ORL,11.0,40.0,Home,29.0,41.6,1956.0
2023-01-14,PHI,9.0,37.0,Home,28.0,41.2,1993.0
