Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,IND,12.0,42.0,Away,30.0,42.0,42.0
2022-10-21,CHI,10.0,38.0,Home,28.0,40.0,80.0
2022-10-23,CLE,16.0,48.0,Away,32.0,42.666666666666664,128.0
2022-10-25,DET,11.0,41.0,Home,30.0,42.25,169.0
2022-10-28,IND,5.0,41.0,Home,36.0,42.0,210.0
2022-10-30,BOS,4.0,47.0,Away,43.0,42.833333333333336,257.0
2022-10-31,PHI,4.0,37.0,Home,33.0,42.0,294.0
2022-11-02,PHI,6.0,32.0,Away,26.0,40.75,326.0
2022-11-04,BRK,7.0,48.0,Home,41.0,41.55555555555556,374.0
2022-11-06,MEM,12.0,50.0,Away,38.0,42.4,424.0
2022-11-07,CHO,17.0,45.0,Away,28.0,42.7,469.0
2022-11-10,DAL,7.0,41.0,Home,34.0,43.0,510.0
2022-11-12,UTA,7.0,42.0,Home,35.0,42.4,552.0
2022-11-13,MEM,14.0,51.0,Home,37.0,43.4,603.0
2022-11-16,OKC,9.0,37.0,Home,28.0,43.0,640.0
2022-11-18,MIA,10.0,53.0,Home,43.0,43.6,693.0
2022-11-20,CHO,15.0,51.0,Home,36.0,45.0,744.0
2022-11-23,MIA,14.0,53.0,Away,39.0,47.1,797.0
2022-11-25,MIA,10.0,47.0,Away,37.0,47.0,844.0
2022-11-27,BOS,10.0,38.0,Away,28.0,45.8,882.0
2022-11-28,MIN,15.0,45.0,Home,30.0,45.8,927.0
2022-11-30,BRK,4.0,35.0,Away,31.0,45.2,962.0
2022-12-02,CHO,19.0,45.0,Away,26.0,45.5,1007.0
2022-12-04,LAL,9.0,51.0,Home,42.0,45.5,1058.0
2022-12-07,CHI,6.0,41.0,Away,35.0,45.9,1099.0
2022-12-09,IND,13.0,40.0,Away,27.0,44.6,1139.0
2022-12-10,LAC,9.0,42.0,Home,33.0,43.7,1181.0
2022-12-12,BRK,7.0,41.0,Home,34.0,42.5,1222.0
2022-12-14,DEN,7.0,45.0,Away,38.0,42.3,1267.0
2022-12-17,LAC,12.0,49.0,Away,37.0,43.4,1316.0
