Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
@OKC,,,@ORL,,MIA,
@MIN,,@PHI,,BKN,TOR,
MIL,,LAC,,@BOS,,WAS
,,WAS,,@WAS,,@NY
UTA,,PHO,,,,DET
,,@OKC,,,@GS,
@ORL,,TOR,,LAC,,@NO
NO,,GS,,,,@HOU
GS,,@MIL,,PHI,,@CHI
@DET,,@DEN,,,CLE,MIN
SAC,,LAL,,NO,,DEN
SA,,UTA,MIL,,,@PHI
@NY,,@BKN,,@DAL,,MEM
@MIA,,@HOU,,@PHO,,POR
,,MIA,,UTA,,@LAC
LAL,,@MEM,,,@ATL,@SA
@BKN,,DET,@IND,,@ORL,
BOS,,NO,,@SA,,@GS
@DEN,,@MIN,,@HOU,,DAL
LAC,,SA,,,,CHA
ATL,,CLE,,@SAC,,@PHO
DAL,,,ATL,,MIL,
WAS,,BOS,,@DET,,IND
,,@CHI,,LAL,,OKC
,,@SAC,,,,@LAL
@HOU,,POR,,OKC,,
@IND,,@NY,,MIN,,MIA
,,@DAL,,,@BOS,
@CHI,,@IND,,@MEM,,
@PHI,,@CHA,,CHA,,@BKN
